entity_id,wp_id,type,family,current_url,canonical_url,workflow_status,final_disposition,priority,review_group,historical_clicks,historical_impressions,historical_ctr,historical_position,actual_status,current_http_status,intended_indexability,indexability_observation,canonical_observation,title_observation,meta_description_observation,h1_observation,schema_observation,finding_count,finding_ids,finding_headings,evidence_classes,audit_outcome,dossier_path
WP-14450,14450,product,products,https://www.mariwork.ir/shop/pink_fluorescent_103/,https://www.mariwork.ir/shop/pink_fluorescent_103/,CODEX_AUDITED,NOT_DECIDED,,STORE / SHOP,790,328501,0.24%,2.26,200,200,UNKNOWN_NEEDS_VERIFICATION,"index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large",['https://www.mariwork.ir/shop/pink_fluorescent_103/'],رنگ پارچه | صورتی فلورسنت کد 103 - رنگ پارچه ماری ورک,"رنگ‌های فلورسنت ماری ورک حاوی مواد معدنی فلورسنت هستند که در معرض نور یووی Ult یاماورا بنفش، نور مرئی ساطع می کنند. توجه داشته باشید که این نوع رنگ با رنگ شب تاب متفاوت است و فقط زیر نور یووی می‌درخشد. و در نور روز رنگی روشن و به اصطلاح عامه ""جیغ"" دارد.",رنگ پارچه | صورتی فلورسنت کد 103,,2,WP-14450-F001;WP-14450-F002,Conflicting legacy URL evidence requires verification | Product structured-data output is not evidenced,MEASURED;OBSERVED,sufficient for ChatGPT Second Review; `final_disposition` remains `NOT_DECIDED`. Production is unchanged.,pages/products/WP-14450.md
WP-12608,12608,product,products,https://www.mariwork.ir/shop/set-12-colors-mariwork-fabric-color/,https://www.mariwork.ir/shop/set-12-colors-mariwork-fabric-color/,CODEX_AUDITED,NOT_DECIDED,,STORE / SHOP,1851,172026,1.08%,4.28,200,200,UNKNOWN_NEEDS_VERIFICATION,"index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large",['https://www.mariwork.ir/shop/set-12-colors-mariwork-fabric-color/'],رنگ پارچه | ست 12 رنگ 60 میل - رنگ پارچه ماری ورک,ست دوازده رنگ ماری‌ورک شامل رنگ‌های قرمز، زرد، آبی، سبز، سیاه، سفید، اُکر، نارنجی، سرخ‌آبی، بنفش، فیروزه‌ای و قهوه‌ای‌تیره  است.,رنگ پارچه | ست 12 رنگ 60 میل,,2,WP-12608-F001;WP-12608-F002,severity: P1 | severity: P2,MEASURED,"reachable, self-canonical product page with useful visible identity evidence; structured-data output and ownership require verification.",pages/products/WP-12608.md
WP-27041,27041,product,products,https://www.mariwork.ir/shop/lilac-mariwork-fabric-color-code128/,https://www.mariwork.ir/shop/lilac-mariwork-fabric-color-code128/,CODEX_AUDITED,NOT_DECIDED,,STORE / SHOP,181,167540,0.11%,8.07,200,200,UNKNOWN_NEEDS_VERIFICATION,"index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large",['https://www.mariwork.ir/shop/lilac-mariwork-fabric-color-code128/'],رنگ پارچه یاسی ماری ورک | کد 128 - رنگ پارچه ماری ورک,رنگ پارچه یاسی ماری ورک، رنگی ظریف و دل‌انگیز، به کالای شما جلوه‌ای خاص و زنانه می‌بخشد. این رنگ، با پوشش‌دهی مناسب و ثبات رنگی مثال‌زدنی، برای نقاشی و چاپ انواع پارچه ایده‌آل است.,رنگ پارچه یاسی ماری ورک | کد 128,,2,WP-27041-F001;WP-27041-F002,Legacy variant URL mapping needs direct verification | Product structured-data output is not evidenced,MEASURED;OBSERVED,sufficient for ChatGPT Second Review; `final_disposition` remains `NOT_DECIDED`; no Production write.,pages/products/WP-27041.md
WP-27142,27142,product,products,https://www.mariwork.ir/shop/light-salmon-mariwork-fabric-color-code135/,https://www.mariwork.ir/shop/light-salmon-mariwork-fabric-color-code135/,CODEX_AUDITED,NOT_DECIDED,,STORE / SHOP,236,136318,0.17%,5.86,200,200,UNKNOWN_NEEDS_VERIFICATION,"index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large",['https://www.mariwork.ir/shop/light-salmon-mariwork-fabric-color-code135/'],رنگ پارچه گلبهی ماری ورک | کد 135 - رنگ پارچه ماری ورک,رنگ پارچه گلبهی ماری ورک، رنگی ظریف و دلنشین، به کالای شما جلوه‌ای خاص و زنانه می‌بخشد. این رنگ، با پوشش‌دهی مناسب و ثبات رنگی مثال‌زدنی، برای چاپ و نقاشی انواع پارچه ایده‌آل است. رنگ پارچه گلبهی ماری ورک ، انتخابی ایده‌آل برای خلق آثاری ظریف و ارتقای سطح کیفی محصولات شما.,رنگ پارچه گلبهی ماری ورک | کد 135,,1,WP-27142-F002,SEO ownership and indexability decision are not verified,OBSERVED,,pages/products/WP-27142.md
WP-27051,27051,product,products,https://www.mariwork.ir/shop/sky-blue-mariwork-fabric-color-code131/,https://www.mariwork.ir/shop/sky-blue-mariwork-fabric-color-code131/,CODEX_AUDITED,NOT_DECIDED,,STORE / SHOP,937,126416,0.74%,6.45,200,200,UNKNOWN_NEEDS_VERIFICATION,"index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large",['https://www.mariwork.ir/shop/sky-blue-mariwork-fabric-color-code131/'],رنگ پارچه آبی آسمانی ماری ورک | کد 131 - رنگ پارچه ماری ورک,رنگ پارچه آبی آسمانی ماری ورک، رنگی ملایم و دل‌انگیز، به کار هنری شما جلوه‌ای آرامش‌بخش و دلنشین می‌بخشد. این رنگ، با پوشش‌دهی مناسب و ثبات رنگی مثال‌زدنی، برای نقاشی و چاپ انواع پارچه ایده‌آل است. رنگ پارچه آبی آسمانی ماری ورک، انتخابی ایده‌آل برای خلق آثاری آرامش‌بخش و ارتقای سطح کیفی محصولات شماست.,رنگ پارچه آبی آسمانی ماری ورک | کد 131,,1,WP-27051-F002,SEO ownership and indexability decision are not verified,OBSERVED,,pages/products/WP-27051.md
WP-28242,28242,product,products,https://www.mariwork.ir/shop/mocha-mousse-mariwork-fabric-color-code138/,https://www.mariwork.ir/shop/mocha-mousse-mariwork-fabric-color-code138/,CODEX_AUDITED,NOT_DECIDED,,STORE / SHOP,468,121098,0.39%,6.31,200,200,UNKNOWN_NEEDS_VERIFICATION,"index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large",['https://www.mariwork.ir/shop/mocha-mousse-mariwork-fabric-color-code138/'],رنگ پارچه موکا ماری ورک | کد 138 - رنگ پارچه ماری ورک,رنگ پارچه موکا ماری ورک، انتخابی مدرن و کلاسیک برای طرح‌های شماست. این رنگ که به عنوان رنگ سال 2025 شناخته می‌شود، به هر پارچه‌ای عمق و زیبایی خاصی می‌بخشد.,رنگ پارچه موکا ماری ورک | کد 138,,1,WP-28242-F001,No parsed structured-data types in supplied initial HTML evidence,OBSERVED,"sufficient for ChatGPT Second Review. HTTP 200, self-canonical, index/follow meta robots, one H1, images with no reported missing ALT, and visible product/variant content were observed. Page+Query, Coverage, OG, Rank Math ownership and parsed structured data are NOT_AVAILABLE; `schema_types: []` is recorded. One legacy URL has a supplied direct 301. See SYS-004 and SYS-008.",pages/products/WP-28242.md
WP-12536,12536,product,products,https://www.mariwork.ir/shop/magenta-mariwork-fabric-color-code120/,https://www.mariwork.ir/shop/magenta-mariwork-fabric-color-code120/,CODEX_AUDITED,NOT_DECIDED,,STORE / SHOP,181,79126,0.23%,5.96,200,200,UNKNOWN_NEEDS_VERIFICATION,"index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large",['https://www.mariwork.ir/shop/magenta-mariwork-fabric-color-code120/'],رنگ پارچه سرخ آبی ماری ورک | کد 120 - رنگ پارچه ماری ورک,رنگ پارچه سرخ آبی ماری ورک کد ۱۲۰ زنده و پرانرژی با گرایش سرخ، صورتی و بنفش؛ برای ترکیب‌های جسورانه و برای گل‌های پررنگ، طرح فانتزی، پترن گرافیکی و جزئیات,رنگ پارچه سرخ آبی ماری ورک | کد 120,,2,WP-12536-F001;WP-12536-F002,severity: P1 | severity: P2,MEASURED,,pages/products/WP-12536.md
WP-28244,28244,product,products,https://www.mariwork.ir/shop/teal-mariwork-fabric-color-code139/,https://www.mariwork.ir/shop/teal-mariwork-fabric-color-code139/,CODEX_AUDITED,NOT_DECIDED,,STORE / SHOP,224,77643,0.29%,7.26,200,200,UNKNOWN_NEEDS_VERIFICATION,"index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large",['https://www.mariwork.ir/shop/teal-mariwork-fabric-color-code139/'],رنگ پارچه کله غازی ماری ورک | کد 139 - رنگ پارچه ماری ورک,رنگ پارچه کله غازی ماری ورک، یک انتخاب کلاسیک و شیک برای طرح‌های شماست. این رنگ با پوشش‌دهی مناسب و ثبات رنگ بالا، به هر پارچه‌ای عمق و زیبایی خاصی می‌بخشد.,رنگ پارچه کله غازی ماری ورک | کد 139,,1,WP-28244-F001,No parsed structured-data types in supplied initial HTML evidence,OBSERVED,"sufficient for ChatGPT Second Review. HTTP 200, self-canonical, index/follow meta robots, one H1, images with no reported missing ALT, and visible product/variant content were observed. Page+Query, Coverage, OG, Rank Math ownership and parsed structured data are NOT_AVAILABLE; `schema_types: []` is recorded. One legacy URL has a supplied direct 301. See SYS-004 and SYS-008.",pages/products/WP-28244.md
WP-30918,30918,archive,shop,https://www.mariwork.ir/shop/,https://www.mariwork.ir/shop/,CODEX_AUDITED,NOT_DECIDED,,STORE / SHOP,5728,75811,7.56%,5.59,200,200,UNKNOWN_NEEDS_VERIFICATION,"index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large",['https://www.mariwork.ir/shop/'],فروشگاه - رنگ پارچه ماری ورک,محصولات Archive - رنگ پارچه ماری ورک,,,3,WP-30918-F001;WP-30918-F002;WP-30918-F003,Archive has no H1 in supplied initial HTML | Meta description contains the literal archive placeholder | Archive structured-data state is unverified,MEASURED;OBSERVED,,pages/shop/WP-30918.md
WP-12488,12488,product,products,https://www.mariwork.ir/shop/saddlebrown-mariwork-fabric-color-code109/,https://www.mariwork.ir/shop/saddlebrown-mariwork-fabric-color-code109/,CODEX_AUDITED,NOT_DECIDED,,STORE / SHOP,393,72565,0.54%,5.43,200,200,UNKNOWN_NEEDS_VERIFICATION,"index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large",['https://www.mariwork.ir/shop/saddlebrown-mariwork-fabric-color-code109/'],رنگ پارچه قهوه ای شکلاتی ماری ورک کد 109 - رنگ پارچه ماری ورک,رنگ پارچه قهوه ای شکلاتی ماری ورک کد 109، رنگی گرم، عمیق و کاربردی برای نقاشی روی پارچه، طراحی لباس، کیف پارچه‌ای، کفش، کوسن و پروژه‌های هنری. مناسب برای طرح‌های طبیعی، کلاسیک، دکوراتیو و ترکیب با کرم، اُکر، طلایی و سبز.,رنگ پارچه قهوه ای شکلاتی ماری ورک کد 109,,3,WP-12488-F001;WP-12488-F002;WP-12488-F003, |  | ,MEASURED;OBSERVED,,pages/products/WP-12488.md
