Date,Not indexed,Indexed,Impressions
2026-06-26,,,7085
2026-06-27,,,7423
2026-06-28,,,7453
2026-06-29,,,7946
2026-06-30,1233,200,8219
2026-07-01,1226,201,8240
2026-07-02,1226,201,7510
2026-07-03,1226,201,7150
2026-07-04,1226,201,7710
2026-07-05,1226,201,7944
2026-07-06,1226,201,7422
2026-07-07,1226,201,7553
2026-07-08,1226,201,7333
2026-07-09,1226,201,7028
2026-07-10,1226,201,7126
2026-07-11,1287,203,7636
2026-07-12,1287,203,7711
2026-07-13,1287,203,7502
2026-07-14,1287,203,7664
2026-07-15,1287,203,6685
2026-07-16,1287,203,6331
2026-07-17,1287,203,6806
2026-07-18,1287,203,7456
2026-07-19,1287,203,7394
2026-07-20,1287,203,7110
2026-07-21,1287,203,7833
2026-07-22,1287,203,7550
2026-07-23,1287,203,6861
2026-07-24,1287,203,7475
2026-07-25,1328,203,7916
2026-07-26,1328,203,7629
2026-07-27,1328,203,8263
2026-07-28,1328,203,8125
2026-07-29,1328,203,8233
2026-07-30,1328,203,7517
2026-07-31,1328,203,7499
2026-08-01,1328,203,8106
2026-08-02,1328,203,8359
2026-08-03,1328,203,7831
2026-08-04,1328,203,7370
2026-08-05,1328,203,7642
2026-08-06,1336,204,7179
2026-08-07,1336,204,7218
2026-08-08,1328,205,7659
2026-08-09,1328,205,7790
2026-08-10,1328,205,7769
2026-08-11,1275,206,7186
2026-08-12,1275,206,7031
2026-08-13,1275,206,6283
2026-08-14,1275,206,6713
2026-08-15,1238,206,7398
2026-08-16,1238,206,7775
2026-08-17,1238,206,7411
2026-08-18,1217,206,7628
2026-08-19,1217,206,7533
2026-08-20,1217,206,6918
2026-08-21,1217,206,7304
2026-08-22,1190,205,7527
2026-08-23,1190,205,7929
2026-08-24,1190,205,7582
2026-08-25,1190,205,7839
2026-08-26,1190,205,7576
2026-08-27,1190,205,7043
2026-08-28,1190,205,7298
2026-08-29,1129,205,6983
2026-08-30,1129,205,6950
2026-08-31,1129,205,6706
2026-09-01,1129,205,7025
2026-09-02,1129,205,7178
2026-09-03,1129,205,6623
2026-09-04,1129,205,7270
2026-09-05,1085,286,7314
2026-09-06,1085,286,7334
2026-09-07,1085,286,7191
2026-09-08,1085,286,7071
2026-09-09,1085,286,6796
2026-09-10,1085,286,6895
2026-09-11,1085,286,5562
2026-09-12,1085,286,5888
2026-09-13,1085,286,5951
2026-09-14,1085,286,5740
2026-09-15,1107,268,5134
2026-09-16,1107,268,4998
2026-09-17,1107,268,4677
2026-09-18,1107,268,4619
2026-09-19,1143,233,4807
2026-09-20,1143,233,4419
2026-09-21,1143,233,4511
