Country,Clicks,Impressions,CTR,Position
Iran,51550,2697843,1.91%,5.35
Germany,334,19955,1.67%,5.35
United States,259,41507,0.62%,8.51
Netherlands,119,6937,1.72%,5.72
United Kingdom,105,6550,1.6%,6.01
France,105,5492,1.91%,6.15
Canada,71,6322,1.12%,7.98
Turkey,57,3970,1.44%,4.28
Sweden,34,2708,1.26%,7.79
Russia,34,2529,1.34%,7.55
Afghanistan,33,11233,0.29%,4.68
Iraq,31,2919,1.06%,4.92
United Arab Emirates,25,2066,1.21%,5.4
Italy,25,1805,1.39%,9.55
Myanmar (Burma),22,646,3.41%,4.95
Poland,17,1025,1.66%,4.71
Austria,16,1121,1.43%,4.51
India,16,979,1.63%,10.71
Singapore,16,637,2.51%,5.75
Japan,14,895,1.56%,6.76
Finland,13,1111,1.17%,4.66
Azerbaijan,11,2018,0.55%,5.28
Belgium,10,647,1.55%,4.5
Armenia,10,435,2.3%,5.42
Bulgaria,10,413,2.42%,4.82
Australia,9,1342,0.67%,6.95
Switzerland,8,1078,0.74%,5.03
Spain,7,963,0.73%,11.2
Norway,7,374,1.87%,5.33
Romania,7,264,2.65%,6.6
Brazil,6,1155,0.52%,18.86
Indonesia,6,377,1.59%,13.05
Czechia,6,319,1.88%,5.14
Saudi Arabia,5,562,0.89%,8.75
Qatar,5,446,1.12%,6.77
Hong Kong,5,307,1.63%,5.86
Ireland,4,472,0.85%,4.97
Oman,3,510,0.59%,5.48
Denmark,3,324,0.93%,4.35
Malaysia,3,227,1.32%,9.66
Kuwait,3,223,1.35%,6.3
China,2,195,1.03%,4.77
Greece,2,130,1.54%,4.29
Moldova,2,119,1.68%,11.73
Georgia,2,114,1.75%,8.59
Morocco,2,70,2.86%,16.56
Pakistan,1,1084,0.09%,5.5
South Korea,1,315,0.32%,15.11
Mexico,1,269,0.37%,11.93
Turkmenistan,1,228,0.44%,4.4
Cyprus,1,155,0.65%,4.77
South Africa,1,146,0.68%,10.27
Ukraine,1,145,0.69%,12.27
Colombia,1,131,0.76%,10.95
Tajikistan,1,123,0.81%,9.53
Jordan,1,123,0.81%,9.9
Hungary,1,105,0.95%,7.63
Serbia,1,105,0.95%,9.5
Taiwan,1,89,1.12%,14.15
Bahrain,1,74,1.35%,10.61
Peru,1,62,1.61%,16.77
Lithuania,1,60,1.67%,8.23
Latvia,1,48,2.08%,6.85
Croatia,1,30,3.33%,4.7
Guatemala,1,27,3.7%,18.44
Bolivia,1,24,4.17%,22.04
Iceland,1,22,4.55%,6.27
Tanzania,1,22,4.55%,22.91
Uganda,1,13,7.69%,21.77
Cuba,1,11,9.09%,20.36
Kosovo,1,7,14.29%,15.43
Jersey,1,4,25%,4.5
Vietnam,0,212,0%,22.15
Egypt,0,197,0%,10.78
Israel,0,150,0%,17.11
Philippines,0,144,0%,12.79
Chile,0,140,0%,15.74
Argentina,0,125,0%,14.14
Bangladesh,0,122,0%,10.48
Luxembourg,0,121,0%,4.39
Thailand,0,115,0%,12.5
Kazakhstan,0,110,0%,15.5
Syria,0,101,0%,9.89
Algeria,0,93,0%,14.85
New Zealand,0,91,0%,8.63
Lebanon,0,79,0%,7.13
Albania,0,73,0%,7.19
Yemen,0,71,0%,2.41
Portugal,0,71,0%,5.08
Uzbekistan,0,66,0%,7.76
Estonia,0,63,0%,5.84
Dominican Republic,0,61,0%,24.77
Ecuador,0,60,0%,15.77
Belarus,0,57,0%,12.63
Kyrgyzstan,0,56,0%,17.05
Tunisia,0,54,0%,13.39
Venezuela,0,51,0%,20.9
Palestine,0,44,0%,18.23
Panama,0,43,0%,24.16
Unknown Region,0,39,0%,21.36
Libya,0,35,0%,18.97
Kenya,0,35,0%,21.37
Uruguay,0,35,0%,23.77
Trinidad & Tobago,0,33,0%,26.55
Ghana,0,32,0%,23.38
Puerto Rico,0,31,0%,25.61
Sri Lanka,0,31,0%,30.97
Nigeria,0,27,0%,7.67
Slovakia,0,26,0%,10.12
Costa Rica,0,26,0%,34.42
Nepal,0,24,0%,35.29
Cambodia,0,23,0%,21.17
Honduras,0,21,0%,27.67
Paraguay,0,21,0%,28.19
Nicaragua,0,21,0%,40.33
Sudan,0,19,0%,2.11
Mozambique,0,19,0%,10.05
Ethiopia,0,19,0%,26
Seychelles,0,18,0%,8.11
Montenegro,0,18,0%,32.28
Maldives,0,17,0%,27.53
Barbados,0,17,0%,30.65
Macedonia,0,17,0%,36.59
Laos,0,16,0%,31.19
Senegal,0,15,0%,41
Bosnia & Herzegovina,0,15,0%,41.13
Mauritius,0,13,0%,48.23
Rwanda,0,12,0%,8.83
Slovenia,0,12,0%,10.83
Gabon,0,12,0%,38.75
Mauritania,0,11,0%,17.82
Bahamas,0,11,0%,29.18
Grenada,0,11,0%,31.18
Burkina Faso,0,11,0%,43.64
Bhutan,0,10,0%,20.1
Guyana,0,10,0%,32.3
Togo,0,10,0%,43.7
Mongolia,0,9,0%,15.44
Somalia,0,9,0%,26.44
Mali,0,9,0%,31.22
Congo - Brazzaville,0,9,0%,34.11
Belize,0,9,0%,48.67
El Salvador,0,9,0%,53.67
Côte d’Ivoire,0,8,0%,4.5
Benin,0,8,0%,25
Angola,0,8,0%,25.62
Zimbabwe,0,8,0%,30.25
Brunei,0,8,0%,33
Cape Verde,0,7,0%,19.29
Jamaica,0,6,0%,7.67
St. Lucia,0,6,0%,9
Botswana,0,6,0%,21.17
Congo - Kinshasa,0,6,0%,28.17
Antigua & Barbuda,0,5,0%,26.8
Gambia,0,4,0%,22
St. Kitts & Nevis,0,4,0%,25.25
Monaco,0,4,0%,27.5
Madagascar,0,4,0%,27.75
Cameroon,0,4,0%,29.25
Niger,0,4,0%,30
Timor-Leste,0,4,0%,55.5
Suriname,0,4,0%,69.25
San Marino,0,3,0%,1.67
Chad,0,3,0%,1.67
Malta,0,3,0%,3.67
Andorra,0,3,0%,24.33
St. Vincent & Grenadines,0,3,0%,36
Fiji,0,3,0%,53.67
